"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"ERALDO TRINDADE                ","ERALDO TRINDADE                ","PPB","AP","titular",2/1/1995,1/31/1999
"ESTHER GROSSI                  ","ESTHER GROSSI                  ","PT","RS","titular",2/1/1995,1/31/1999
"ETEVALDA GRASSI DE MENEZES     ","ETEVALDA GRASSI DE MENEZES     ","PMDB","ES","efetivado",1/2/1997,1/31/1999
"EUDORO PEDROZA                 ","EUDORO PEDROZA                 ","PMDB","TO","suplente",5/15/1996,10/19/1996
"EUJÁCIO SIMÕES                 ","EUJACIO SIMOES                 ","PL","BA","titular",2/1/1995,1/31/1999
"EULER RIBEIRO                  ","EULER RIBEIRO                  ","PFL","AM","titular",2/1/1995,1/31/1999
"EURICO MIRANDA                 ","EURICO MIRANDA                 ","PPB","RJ","efetivado",2/1/1995,1/31/1999
"EURÍPEDES MIRANDA              ","EURIPEDES MIRANDA              ","PDT","RO","titular",2/1/1995,2/19/1998
"EURÍPEDES MIRANDA              ","EURIPEDES MIRANDA              ","PDT","RO","titular",3/4/1998,1/31/1999
"EXPEDITO JÚNIOR                ","EXPEDITO JUNIOR                ","PFL","RO","titular",2/1/1995,5/13/1998
"EXPEDITO JÚNIOR                ","EXPEDITO JUNIOR                ","PFL","RO","titular",9/14/1998,1/31/1999
"EZIDIO PINHEIRO                ","EZIDIO PINHEIRO                ","PSDB","RS","titular",2/1/1995,1/31/1999
"FÁBIO FELDMANN                 ","FABIO FELDMANN                 ","PSDB","SP","titular",2/1/1995,2/1/1995
"FÁBIO FELDMANN                 ","FABIO FELDMANN                 ","PSDB","SP","titular",4/2/1998,1/31/1999
"FÁTIMA PELAES                  ","FATIMA PELAES                  ","PSDB","AP","titular",2/1/1995,1/31/1999
"FAUSTO MARTELLO                ","FAUSTO MARTELLO                ","PPB","SP","titular",2/1/1995,1/31/1999
"FELIPE MENDES                  ","FELIPE MENDES                  ","PPB","PI","titular",2/1/1995,1/31/1999
"FELIX MENDONÇA                 ","FELIX MENDONCA                 ","PTB","BA","titular",2/1/1995,1/31/1999
"FERNANDO DINIZ                 ","FERNANDO DINIZ                 ","PMDB","MG","titular",2/1/1995,1/31/1999
"FERNANDO FERRO                 ","FERNANDO FERRO                 ","PT","PE","titular",2/1/1995,1/31/1999
"FERNANDO GABEIRA               ","FERNANDO GABEIRA               ","PV","RJ","titular",2/1/1995,1/31/1999
"FERNANDO GOMES                 ","FERNANDO GOMES                 ","PTB","BA","titular",2/1/1995,12/30/1996
"FERNANDO GONÇALVES             ","FERNANDO GONCALVES             ","PTB","RJ","titular",2/1/1995,1/31/1999
"FERNANDO LOPES                 ","FERNANDO LOPES                 ","PDT","RJ","titular",2/1/1995,1/11/1999
"FERNANDO LOPES                 ","FERNANDO LOPES                 ","PDT","RJ","titular",1/29/1999,1/31/1999
"FERNANDO LYRA                  ","FERNANDO LYRA                  ","PSB","PE","titular",2/1/1995,1/31/1999
"FERNANDO RIBAS CARLI           ","FERNANDO RIBAS CARLI           ","PPB","PR","titular",2/1/1995,2/2/1995
"FERNANDO RIBAS CARLI           ","FERNANDO RIBAS CARLI           ","PPB","PR","titular",4/3/1996,1/31/1999
"FERNANDO TORRES                ","FERNANDO TORRES                ","PSDB","AL","titular",2/1/1995,1/31/1999
"FERNANDO ZUPPO                 ","FERNANDO ZUPPO                 ","PDT","SP","titular",2/1/1995,1/31/1999
