"id","name","party","state","vote.1692","vote.1693","vote.1694","vote.1695","vote.1696","vote.1698","vote.1763","vote.1764","vote.1765","vote.1766","vote.1767","vote.1769","vote.1771","vote.1772","vote.1773","vote.1774","vote.1775","vote.1777","vote.1779","vote.1781"
47,"EURIPEDES MIRANDA","PDT","RO",2,2,1,2,1,2,2,2,2,4,4,1,2,1,4,4,4,3,4,1
15,"EVANDRO MILHOMEN","PSB","AP",2,2,1,1,1,2,1,2,2,4,4,4,2,5,1,2,1,4,4,1
48,"EXPEDITO JUNIOR","PSDB","RO",4,4,2,1,2,1,2,1,4,2,2,1,1,2,4,4,4,2,4,2
590,"EZIDIO PINHEIRO","PSB","RS",2,2,1,1,4,2,3,2,2,1,4,2,4,4,1,2,1,1,4,1
11,"FATIMA PELAES","PSDB","AP",1,4,4,4,4,4,4,4,4,2,2,4,1,2,1,1,1,2,4,4
191,"FELIX MENDONCA","PTB","BA",1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,4,4,4,1
478,"FERNANDO CORUJA","PDT","SC",2,1,1,2,1,2,1,2,2,1,5,1,2,1,1,2,1,2,5,1
233,"FERNANDO DINIZ","PMDB","MG",1,1,1,1,2,1,2,1,1,2,4,1,1,2,1,1,4,2,4,2
141,"FERNANDO FERRO","PT","PE",1,1,1,1,1,2,1,2,2,5,5,1,2,2,1,2,1,1,4,4
296,"FERNANDO GABEIRA","PT","RJ",1,1,1,1,1,2,4,4,2,4,4,1,2,4,1,2,1,4,4,1
297,"FERNANDO GONCALVES","PTB","RJ",1,1,2,1,2,1,2,1,1,2,2,4,1,2,2,2,1,2,4,1
354,"FERNANDO ZUPPO","PSDC","SP",2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,4,1
496,"FETTER JUNIOR","PPB","RS",1,1,2,1,1,1,4,1,1,2,2,1,1,2,1,1,1,2,4,1
274,"FEU ROSA","PSDB","ES",1,1,4,4,4,4,2,1,1,2,2,4,1,2,1,1,1,4,5,2
514,"FIORAVANTE","PT","RS",1,1,1,1,1,1,1,4,4,4,4,1,2,2,1,1,1,1,4,1
447,"FLAVIO ARNS","PT","PR",1,1,1,1,1,2,1,2,2,1,5,4,2,2,1,2,1,1,4,1
