"id","name","party","state","vote.587","vote.588","vote.589","vote.590","vote.591","vote.592","vote.597","vote.598","vote.599","vote.605","vote.606","vote.608","vote.609","vote.610","vote.611","vote.618","vote.619","vote.620","vote.621","vote.622","vote.623","vote.624","vote.625"
296,"FERNANDO GABEIRA","PV","RJ",1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,4,4,4,4,4,4,4,4
297,"FERNANDO GONCALVES","PTB","RJ",2,2,1,1,4,4,1,2,1,1,1,1,1,1,4,1,2,2,1,1,4,2,1
298,"FERNANDO LOPES","PDT","RJ",4,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"FERNANDO LYRA","PSB","PE",4,4,4,4,4,4,4,1,4,1,2,2,2,2,1,4,4,4,4,4,4,4,4
446,"FERNANDO RIBAS CARLI","PPB","PR",2,2,4,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,4,4,4,4
168,"FERNANDO TORRES","PSDB","AL",2,2,1,1,3,4,3,2,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4
354,"FERNANDO ZUPPO","PDT","SP",1,1,2,1,1,4,2,1,2,1,2,2,2,2,1,2,1,1,2,2,1,1,4
496,"FETTER JUNIOR","PPB","RS",2,2,1,2,2,1,1,2,1,1,1,1,2,1,4,1,2,4,1,1,2,2,1
274,"FEU ROSA","PSDB","ES",2,2,4,1,1,4,1,2,1,1,4,1,1,1,2,4,2,2,1,1,2,2,1
92,"FIRMO DE CASTRO","PSDB","CE",4,4,4,4,4,4,1,2,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4
447,"FLAVIO ARNS","PSDB","PR",2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
434,"FLAVIO DERZI","PPB","MS",2,4,4,1,2,4,1,2,1,1,4,1,1,1,2,1,2,4,1,1,4,4,4
74,"FRANCISCO COELHO","PFL","MA",2,4,4,4,4,4,4,4,4,1,1,1,1,4,4,1,2,2,1,1,2,2,1
3,"FRANCISCO RODRIGUES","PTB","RR",2,4,1,1,1,1,4,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
300,"FRANCISCO SILVA","PPB","RJ",4,4,2,1,1,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,"FRANCO MONTORO","PSDB","SP",4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4
