"id","name","party","state","vote.100000690","vote.100000691","vote.100000692","vote.100000693","vote.100000694","vote.100000695","vote.100000696","vote.100000697","vote.100000698","vote.100000699","vote.100000700","vote.100000701","vote.100000702","vote.100000703","vote.100000704","vote.100000705","vote.100000708"
592,"CARLOS SANT ANNA","PP","BA",NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,NA,1,1,1
288,"CARLOS SANTANA","PT","RJ",2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA
434,"CARLOS SCARPELINI","PP","PR",1,NA,1,NA,NA,1,1,1,NA,2,2,2,1,1,1,NA,NA
89,"CARLOS VIRGILIO","PPR","CE",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA
488,"CARRION JUNIOR","PDT","RS",NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,NA,1
52,"CELIA MENDES","PPR","AC",1,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA
485,"CELSO BERNARDI","PPR","RS",1,2,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
68,"CESAR BANDEIRA","PFL","MA",1,2,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1
460,"CESAR SOUZA","PFL","SC",NA,NA,NA,NA,1,NA,NA,2,NA,2,2,NA,1,NA,NA,NA,1
574,"CHAFIC FARHAT","PPR","SP",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"CHICO VIGILANTE","PT","DF",NA,2,NA,NA,1,NA,2,NA,1,2,NA,1,2,2,NA,NA,NA
309,"CIDINHA CAMPOS","PDT","RJ",NA,NA,1,1,2,2,NA,NA,NA,2,1,1,2,NA,NA,NA,NA
110,"CIRO NOGUEIRA","PFL","PI",NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,1,1,1,NA,1,NA
175,"CLEONANCIO FONSECA","PPR","SE",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
171,"CLETO FALCAO","PSD","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA
184,"CLOVIS ASSIS","PSDB","BA",NA,NA,1,2,1,1,1,NA,3,2,1,2,2,1,NA,2,NA
67,"COSTA FERREIRA","PP","MA",1,2,NA,1,NA,1,1,NA,1,2,2,2,1,NA,NA,1,NA
334,"CUNHA BUENO","PPR","SP",NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA
71,"DANIEL SILVA","PFL","MA",NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,1,1
71,"DANIEL SILVA","PPR","MA",1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,"DARCI COELHO","PFL","TO",1,2,NA,NA,1,1,NA,2,1,NA,NA,2,NA,NA,NA,1,1
461,"DEJANDIR DALPASQUALE","PMDB","SC",NA,2,1,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,2
435,"DELCINO TAVARES","PP","PR",NA,NA,1,NA,NA,1,1,1,NA,NA,NA,2,2,1,NA,NA,2
333,"DELFIM NETTO","PPR","SP",NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
405,"DELIO BRAZ","PFL","GO",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,1,NA,2,2
560,"DENI SCHWARTZ","PSDB","PR",NA,1,2,NA,1,1,1,1,1,NA,1,2,1,NA,2,NA,1
462,"DERCIO KNOP","PDT","SC",NA,NA,1,1,NA,3,1,NA,NA,NA,1,NA,1,1,NA,NA,NA
59,"DERVAL DE PAIVA","PMDB","TO",NA,2,1,NA,1,NA,NA,1,1,2,1,NA,1,NA,NA,NA,NA
338,"DIOGO NOMURA","PL","SP",NA,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA
173,"DJENAL GONCALVES","PPR","SE",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,"DJENAL GONCALVES","PSDB","SE",2,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,1,1,NA,1,1
19,"DOMINGOS JUVENIL","PMDB","PA",1,2,1,NA,1,NA,1,2,1,NA,2,2,1,1,NA,1,NA
486,"EDEN PEDROSO","PT","RS",2,2,NA,1,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA
528,"EDESIO FRIAS","PDT","RJ",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,"EDESIO PASSOS","PT","PR",2,2,2,1,NA,1,2,NA,1,2,1,1,NA,NA,NA,NA,NA
437,"EDI SILIPRANDI","PSD","PR",NA,NA,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA
555,"EDISON ANDRINO","PMDB","SC",1,2,1,1,1,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA
45,"EDISON FIDELIS","PP","RO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"EDMAR MOREIRA","PP","MG",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"EDMUNDO GALDINO","PSDB","TO",1,2,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,1,2,NA,1
90,"EDSON SILVA","PDT","CE",1,2,NA,1,1,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,1
340,"EDUARDO JORGE","PT","SP",2,2,2,NA,NA,1,NA,NA,2,2,1,1,2,2,NA,NA,NA
529,"EDUARDO MASCARENHAS","PSDB","RJ",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"EDUARDO MATIAS","PP","MA",NA,NA,NA,1,1,1,1,NA,NA,NA,NA,2,1,1,1,NA,1
129,"EFRAIM MORAIS","PFL","PB",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,1
241,"ELIAS MURAD","PSDB","MG",1,2,2,NA,1,1,1,1,1,2,2,1,1,1,NA,2,1
515,"ELIEL RODRIGUES","PMDB","PA",NA,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,"ELIO DALLA VECCHIA","PDT","PR",1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA
421,"ELISIO CURVO","PTB","MS",NA,NA,1,2,NA,1,NA,NA,NA,NA,2,NA,NA,1,1,NA,1
185,"ERALDO TINOCO","PFL","BA",NA,2,1,1,1,1,1,2,1,NA,NA,2,1,NA,2,1,NA
10,"ERALDO TRINDADE","PPR","AP",1,2,1,NA,1,NA,1,2,1,3,NA,1,NA,NA,NA,NA,NA
91,"ERNANI VIANA","PP","CE",NA,NA,1,1,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA
341,"ERNESTO GRADELLA","PSTU","SP",2,2,NA,2,2,NA,2,NA,2,2,1,1,2,NA,2,NA,NA
589,"ERVIN BONKOSKI","PTB","PR",NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
273,"ETEVALDA GRASSI DE MENEZES","PTB","ES",1,2,1,NA,1,1,1,NA,1,2,2,2,1,1,NA,1,1
92,"ETEVALDO NOGUEIRA","PFL","CE",NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
343,"EUCLYDES MELLO","PRN","SP",1,NA,NA,1,1,1,2,NA,NA,NA,2,2,1,1,NA,NA,NA
38,"EULER RIBEIRO","PMDB","AM",1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
593,"EURICO RIBEIRO","PPR","MA",NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,NA,NA,NA
130,"EVALDO GONCALVES","PFL","PB",NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,1,1,NA,NA,1
176,"EVARALDO DE OLIVEIRA","PFL","SE",2,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA
596,"EXPEDITO RAFAEL","PMN","RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,NA
39,"EZIO FERREIRA","PFL","AM",NA,NA,1,NA,1,1,1,NA,1,NA,NA,2,1,NA,NA,1,1
344,"FABIO FELDMANN","PSDB","SP",NA,NA,2,NA,NA,1,NA,1,1,2,NA,2,1,1,NA,NA,1
345,"FABIO MEIRELLES","PPR","SP",NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
291,"FABIO RAUNHEITTI","PTB","RJ",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"FATIMA PELAES","PFL","AP",1,2,1,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,1,1,NA
346,"FAUSTO ROCHA","PL","SP",NA,NA,1,NA,NA,1,NA,NA,2,2,2,NA,1,NA,NA,2,NA
509,"FELIPE MENDES","PPR","PI",NA,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,"FELIPE NERI","PMDB","MG",1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1
186,"FELIX MENDONCA","PTB","BA",NA,NA,3,3,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,1,NA
487,"FERNANDO CARRION","PPR","RS",1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
230,"FERNANDO DINIZ","PMDB","MG",1,NA,1,1,1,1,1,NA,1,2,2,3,1,1,NA,1,NA
119,"FERNANDO FREIRE","PPR","RN",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
292,"FERNANDO LOPES","PDT","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
551,"FERNANDO LYRA","PSB","PE",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
476,"FETTER JUNIOR","PPR","RS",NA,1,1,1,NA,NA,1,2,1,1,2,2,1,NA,NA,2,2
439,"FLAVIO ARNS","PSDB","PR",2,1,2,NA,NA,1,1,1,1,2,NA,NA,NA,NA,2,2,NA
422,"FLAVIO DERZI","PP","MS",1,2,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA
294,"FLAVIO PALMIER DA VEIGA","PSDB","RJ",NA,1,NA,1,NA,NA,1,NA,NA,2,NA,1,1,NA,NA,2,NA
120,"FLAVIO ROCHA","PL","RN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
347,"FLORESTAN FERNANDES","PT","SP",NA,NA,2,1,1,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA
74,"FRANCISCO COELHO","PFL","MA",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"FRANCISCO DIOGENES","PMDB","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
295,"FRANCISCO DORNELLES","PPR","RJ",1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
131,"FRANCISCO EVANGELISTA","PPR","PB",1,2,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,NA
4,"FRANCISCO RODRIGUES","PTB","RR",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA
312,"FRANCISCO SILVA","PP","RJ",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,1
62,"FREIRE JUNIOR","PMDB","TO",NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA
348,"GASTONE RIGHI","PTB","SP",NA,2,NA,2,NA,1,NA,2,1,2,2,1,1,2,1,1,1
188,"GEDDEL VIEIRA LIMA","PMDB","BA",1,2,NA,1,NA,NA,NA,NA,1,NA,2,2,1,NA,NA,1,NA
189,"GENEBALDO CORREIA","PMDB","BA",NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"GENESIO BERNARDINO","PMDB","MG",1,2,1,NA,NA,1,NA,NA,1,2,NA,2,1,1,1,1,1
423,"GEORGE TAKIMOTO","PFL","MS",NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,2,2
349,"GERALDO ALCKMIN FILHO","PSDB","SP",2,1,2,1,1,1,NA,1,1,2,1,1,1,1,NA,NA,NA
489,"GERMANO RIGOTTO","PMDB","RS",1,NA,1,1,NA,1,1,1,1,3,2,1,NA,1,1,NA,1
20,"GERSON PERES","PPR","PA",1,2,1,1,1,1,1,NA,1,NA,2,2,1,1,NA,1,NA
232,"GETULIO NEIVA","PL","MG",NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,2,3,1,1,NA,3
141,"GILSON MACHADO","PFL","PE",NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA
12,"GILVAN BORGES","PMDB","AP",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
21,"GIOVANNI QUEIROZ","PDT","PA",1,2,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1
100,"GONZAGA MOTA","PMDB","CE",1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
142,"GUSTAVO KRAUSE","PFL","PE",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,"HALEY MARGON","PMDB","GO",1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
190,"HAROLDO LIMA","PCdoB","BA",NA,2,2,NA,NA,1,NA,1,1,2,1,1,2,2,NA,1,2
75,"HAROLDO SABOIA","PT","MA",NA,2,2,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA
350,"HEITOR FRANCO","PPR","SP",1,2,1,NA,NA,1,1,2,NA,NA,2,NA,1,1,NA,2,1
352,"HELIO BICUDO","PT","SP",2,2,2,NA,NA,1,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA
351,"HELIO ROSAS","PMDB","SP",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,1,1
566,"HELVECIO CASTELLO","PSDB","ES",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"HELVECIO CASTELLO","PT","ES",2,NA,2,1,1,1,2,NA,1,NA,1,1,2,NA,2,NA,NA
121,"HENRIQUE EDUARDO ALVES","PMDB","RN",1,2,1,1,1,1,NA,NA,NA,2,NA,1,NA,1,NA,1,NA
22,"HERMINIO CALVINHO","PMDB","PA",1,NA,NA,1,1,1,2,NA,1,2,2,NA,1,1,1,1,NA
547,"HILARIO BRAUN","PMDB","RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1
23,"HILARIO COIMBRA","PTB","PA",1,2,1,NA,1,NA,1,NA,1,2,2,2,1,1,NA,1,1
440,"HOMERO OGUIDO","PMDB","PR",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,1,1,NA,1,1
464,"HUGO BIEHL","PPR","SC",1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA
233,"HUMBERTO SOUTO","PFL","MG",NA,1,NA,2,NA,1,NA,NA,1,2,2,1,1,1,1,1,NA
122,"IBERE FERREIRA","PFL","RN",NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,1
234,"IBRAHIM ABI ACKEL","PPR","MG",1,2,1,1,1,NA,1,2,1,NA,2,2,NA,NA,1,NA,NA
490,"IBSEN PINHEIRO","PMDB","RS",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"INOCENCIO OLIVEIRA","PFL","PE",3,3,NA,1,NA,3,3,3,1,3,3,3,3,3,3,NA,3
235,"IRANI BARBOSA","PSD","MG",NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3
353,"IRMA PASSONI","PT","SP",2,2,2,NA,NA,1,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA
236,"ISRAEL PINHEIRO","PTB","MG",NA,1,2,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
132,"IVAN BURITY","PFL","PB",1,2,1,NA,2,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
133,"IVANDRO CUNHA LIMA","PMDB","PB",1,2,1,1,NA,1,1,NA,1,NA,NA,2,1,1,1,1,1
442,"IVANIO GUERRA","PFL","PR",NA,NA,1,1,1,1,1,NA,1,NA,2,1,NA,1,NA,NA,NA
